Training started at 2024-12-03 20:04:53.276572 - direction_weight': 0.6
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,1.229914,0.894759,0.642315,0.738277,0.636346,0.113744
1,1.097216,0.470110,0.809741,0.840058,0.806876,0.080042
2,0.870972,0.420397,0.834049,0.847692,0.826523,0.066519
3,0.625232,0.400029,0.853912,0.837150,0.834578,0.058069
4,0.485488,0.383634,0.870095,0.830244,0.841257,0.053687
5,0.446463,0.370649,0.849344,0.870956,0.846758,0.050082
6,0.446714,0.366156,0.854077,0.868048,0.848527,0.047332
7,0.439092,0.367326,0.881173,0.830244,0.847741,0.044698
8,0.436153,0.371295,0.876099,0.832788,0.845972,0.041796
9,0.423209,0.355206,0.859555,0.869866,0.852849,0.040248
10,0.416085,0.378570,0.900945,0.796801,0.842829,0.039312
11,0.412418,0.364901,0.882535,0.830244,0.848527,0.038398
12,0.419508,0.370525,0.891408,0.814613,0.846169,0.038776
13,0.404857,0.361249,0.887676,0.827336,0.850098,0.038869
14,0.402544,0.358755,0.884601,0.833152,0.851081,0.037713
15,0.405777,0.359145,0.893987,0.821519,0.850884,0.035990
16,0.403622,0.350788,0.877536,0.849146,0.854420,0.037496
17,0.403580,0.351600,0.868035,0.860778,0.854028,0.036426
18,0.394912,0.366153,0.886284,0.824427,0.847937,0.036562
19,0.393557,0.354843,0.875422,0.848055,0.852652,0.035463
20,0.392448,0.351756,0.877444,0.848419,0.854028,0.038136
21,0.390908,0.353154,0.875609,0.849509,0.853438,0.038043
22,0.396041,0.354295,0.867523,0.859324,0.853045,0.035862
23,0.388959,0.353006,0.860273,0.870593,0.853635,0.036882
24,0.393857,0.353377,0.875562,0.849146,0.853242,0.035530
25,0.389335,0.348833,0.860157,0.874228,0.855206,0.037447
26,0.397810,0.342604,0.875000,0.860051,0.857957,0.035558
27,0.393348,0.351471,0.872451,0.855325,0.854224,0.036416
28,0.392838,0.351030,0.853376,0.882225,0.854420,0.036039
29,0.385705,0.354242,0.887984,0.832788,0.852849,0.034558
30,0.385170,0.348311,0.888247,0.837877,0.855403,0.036527
31,0.384923,0.366572,0.835654,0.894584,0.847937,0.038540
32,0.388944,0.341571,0.865898,0.873137,0.858350,0.035420
33,0.384049,0.350507,0.864659,0.866230,0.854420,0.035061
34,0.384927,0.346256,0.875698,0.855325,0.856189,0.035808
35,0.387030,0.357068,0.891987,0.825518,0.851670,0.035924
36,0.389221,0.356618,0.854255,0.875682,0.852063,0.036450
37,0.387837,0.346733,0.885115,0.842966,0.855992,0.035454
38,0.392383,0.365921,0.901054,0.807706,0.848134,0.036796
39,0.388180,0.350902,0.858161,0.875318,0.854420,0.033619
40,0.380986,0.357510,0.886478,0.831698,0.851473,0.036423
