Training started at 2024-12-05 21:30:16.398749
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,1.066449,0.840907,0.669331,0.625000,0.590960,0.122990
1,1.015056,0.836181,0.662162,0.639925,0.589286,0.101379
2,0.988300,0.586885,0.756932,0.763993,0.712054,0.084438
3,0.933562,0.482313,0.798148,0.804104,0.761161,0.067138
4,0.866300,0.448228,0.826214,0.793843,0.776786,0.051125
5,0.783429,0.416075,0.843811,0.801306,0.792411,0.044960
6,0.668611,0.404630,0.855711,0.796642,0.797991,0.042813
7,0.545794,0.402200,0.849705,0.806903,0.799107,0.041508
8,0.453834,0.392168,0.853778,0.811567,0.804129,0.041700
9,0.404256,0.382240,0.858546,0.815299,0.809152,0.042840
10,0.383769,0.373104,0.862475,0.819030,0.813616,0.041112
11,0.372383,0.366372,0.860465,0.828358,0.816964,0.040671
12,0.367785,0.353815,0.859182,0.842351,0.823103,0.037987
13,0.363284,0.338085,0.869356,0.844216,0.830915,0.036683
14,0.365341,0.353593,0.841629,0.867537,0.823103,0.035550
15,0.361106,0.340101,0.860094,0.854478,0.829799,0.034422
16,0.359154,0.349014,0.866667,0.836754,0.825335,0.034083
17,0.353711,0.336688,0.863208,0.853545,0.831473,0.033629
18,0.352880,0.351047,0.867833,0.833022,0.824219,0.031856
19,0.342220,0.344515,0.856876,0.854478,0.827567,0.033475
20,0.336981,0.344381,0.851613,0.861940,0.827567,0.032371
21,0.334932,0.348760,0.859716,0.846082,0.825335,0.030995
22,0.332938,0.349889,0.858902,0.846082,0.824777,0.031238
23,0.330562,0.352112,0.860687,0.841418,0.823661,0.031276
24,0.326923,0.347619,0.858491,0.848881,0.825893,0.030757
