Training started at 2024-12-03 19:42:07.655385 - direction_weight': 0.1
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.306201,0.162828,0.653700,0.751363,0.650491,0.117936
1,0.214235,0.093886,0.812500,0.831698,0.805305,0.106363
2,0.165052,0.076774,0.854483,0.817521,0.826130,0.067563
3,0.117574,0.072367,0.867363,0.815340,0.832809,0.053242
4,0.088574,0.070139,0.858312,0.838968,0.838114,0.052000
5,0.078722,0.069904,0.872826,0.820792,0.838507,0.050870
6,0.077567,0.066790,0.847788,0.870593,0.845580,0.047895
7,0.076383,0.067010,0.855636,0.855325,0.843811,0.042254
8,0.074202,0.064873,0.844021,0.885133,0.849509,0.044441
9,0.072784,0.066033,0.887008,0.818975,0.845776,0.040538
10,0.073349,0.063343,0.869726,0.854235,0.852063,0.037855
11,0.071268,0.064422,0.863370,0.856779,0.849312,0.037979
12,0.070021,0.063533,0.872850,0.848419,0.851277,0.036923
13,0.070430,0.063297,0.865764,0.860414,0.852456,0.039706
14,0.070949,0.062934,0.855974,0.874955,0.852849,0.037376
15,0.069645,0.063300,0.871328,0.851690,0.851866,0.036643
16,0.069952,0.063930,0.836776,0.898219,0.850295,0.037558
17,0.070181,0.063238,0.871604,0.851327,0.851866,0.035646
18,0.069170,0.063629,0.878753,0.840422,0.851081,0.037433
19,0.067568,0.063994,0.869792,0.849873,0.850098,0.037122
20,0.067993,0.062545,0.878536,0.846601,0.853831,0.037815
21,0.068717,0.062106,0.872545,0.856052,0.854617,0.036024
22,0.068278,0.061928,0.860932,0.873137,0.855206,0.036871
23,0.068083,0.061944,0.877628,0.849873,0.854813,0.034043
24,0.067670,0.063072,0.869228,0.855325,0.852259,0.037201
25,0.069131,0.063135,0.860339,0.866594,0.851866,0.035660
26,0.067001,0.062939,0.873645,0.849509,0.852259,0.034908
27,0.067963,0.063585,0.867479,0.854235,0.850688,0.034758
28,0.067199,0.062443,0.868431,0.858960,0.853438,0.035478
29,0.067467,0.062958,0.857808,0.870593,0.852063,0.033923
30,0.066511,0.062990,0.868363,0.856052,0.852063,0.034744
31,0.067919,0.063459,0.878995,0.839695,0.850884,0.034327
32,0.066839,0.062482,0.861472,0.868048,0.853242,0.033789
33,0.066969,0.062033,0.861041,0.871683,0.854617,0.035943
34,0.066527,0.062488,0.872443,0.852781,0.853045,0.033519
35,0.067155,0.063930,0.874717,0.842603,0.849705,0.035397
36,0.067504,0.064129,0.886249,0.826972,0.849116,0.034785
37,0.066855,0.064473,0.888452,0.822246,0.848134,0.034180
38,0.067671,0.060918,0.865774,0.869866,0.856778,0.034142
39,0.066962,0.062327,0.868112,0.858960,0.853242,0.033003
40,0.067722,0.062528,0.871842,0.853144,0.852849,0.034311
