Training started at 2024-12-16 16:11:48.396527
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.658409,0.508351,0.688124,0.567246,0.589771,0.098957
1,0.598900,0.365372,0.789530,0.676121,0.700218,0.068937
2,0.514029,0.276919,0.844262,0.753888,0.770947,0.049105
3,0.407732,0.236689,0.861660,0.797804,0.803591,0.040285
4,0.296486,0.238002,0.852998,0.806953,0.802503,0.040957
5,0.232022,0.231365,0.861328,0.806953,0.807943,0.039579
6,0.217281,0.216716,0.866475,0.825252,0.820457,0.041925
7,0.211941,0.207151,0.861395,0.847210,0.828074,0.039123
8,0.214816,0.206784,0.845333,0.870082,0.828074,0.035363
9,0.211579,0.203105,0.853659,0.864593,0.831338,0.034723
10,0.205163,0.205060,0.865728,0.843550,0.829162,0.033161
11,0.202913,0.205047,0.862326,0.848124,0.829162,0.032846
12,0.198646,0.205545,0.864232,0.844465,0.828618,0.031140
13,0.197444,0.200408,0.869361,0.846295,0.832971,0.031630
14,0.194732,0.199180,0.860806,0.860018,0.834059,0.032187
15,0.192320,0.201631,0.869115,0.844465,0.831882,0.030512
16,0.192413,0.198627,0.857014,0.866423,0.834603,0.030397
17,0.192963,0.203808,0.861240,0.851784,0.830250,0.030311
18,0.189149,0.198969,0.864815,0.854529,0.834059,0.029637
19,0.188074,0.205291,0.837814,0.883806,0.829162,0.029623
20,0.185183,0.208683,0.854913,0.851784,0.825898,0.029764
21,0.187407,0.199864,0.851159,0.873742,0.834059,0.029697
22,0.185273,0.204118,0.866541,0.843550,0.829706,0.029270
23,0.185264,0.206108,0.864105,0.843550,0.828074,0.029613
24,0.186877,0.204401,0.858456,0.854529,0.829706,0.029787
25,0.185924,0.212791,0.862819,0.834401,0.822633,0.029536
26,0.183321,0.204794,0.860315,0.850869,0.829162,0.029663
27,0.184009,0.203951,0.859246,0.854529,0.830250,0.028994
28,0.184601,0.213237,0.864068,0.831656,0.822089,0.029965
29,0.181582,0.203461,0.860572,0.852699,0.830250,0.029251
30,0.182118,0.205293,0.853128,0.860933,0.829162,0.029571
31,0.182221,0.203119,0.858716,0.856359,0.830794,0.029783
32,0.180922,0.205949,0.847943,0.867338,0.828618,0.029841
33,0.180487,0.206289,0.859389,0.849954,0.828074,0.028993
34,0.182931,0.203121,0.860037,0.854529,0.830794,0.029739
35,0.181321,0.208274,0.858998,0.847210,0.826442,0.029547
36,0.180189,0.203089,0.853526,0.863678,0.830794,0.029555
37,0.180677,0.205686,0.860853,0.849039,0.828618,0.029528
38,0.181598,0.206094,0.859389,0.849954,0.828074,0.029514
39,0.179000,0.206707,0.865348,0.840805,0.827530,0.029265
40,0.180530,0.202837,0.864060,0.849039,0.830794,0.029228
41,0.179534,0.205284,0.853769,0.860018,0.829162,0.029297
42,0.178743,0.205276,0.849955,0.865508,0.829162,0.029319
43,0.178593,0.202459,0.858845,0.857274,0.831338,0.029509
44,0.179643,0.202463,0.859504,0.856359,0.831338,0.029363
45,0.179122,0.201531,0.862292,0.853614,0.831882,0.029090
46,0.181327,0.199894,0.858053,0.862763,0.833515,0.029700
47,0.178984,0.199871,0.858053,0.862763,0.833515,0.029369
48,0.179661,0.208070,0.867173,0.836231,0.826442,0.029779
49,0.177930,0.204660,0.856490,0.857274,0.829706,0.029475
50,0.177795,0.203749,0.857274,0.857274,0.830250,0.029439
51,0.178598,0.204633,0.855839,0.858188,0.829706,0.029166
52,0.176126,0.203329,0.853526,0.863678,0.830794,0.029086
53,0.178214,0.205291,0.853769,0.860018,0.829162,0.029270
54,0.177029,0.203097,0.858059,0.857274,0.830794,0.029245
55,0.178665,0.205033,0.856359,0.856359,0.829162,0.029250
56,0.179268,0.203109,0.860701,0.853614,0.830794,0.029443
57,0.176458,0.201832,0.862963,0.852699,0.831882,0.029551
58,0.178885,0.207378,0.864534,0.840805,0.826986,0.029290
59,0.176033,0.206966,0.861940,0.845380,0.827530,0.029056
60,0.177008,0.204667,0.856490,0.857274,0.829706,0.029532
61,0.178589,0.205285,0.854413,0.859103,0.829162,0.029112
62,0.176198,0.203353,0.854809,0.861848,0.830794,0.029377
63,0.176162,0.205310,0.854413,0.859103,0.829162,0.029492
64,0.176733,0.204013,0.855971,0.859103,0.830250,0.029451
65,0.177110,0.204668,0.856490,0.857274,0.829706,0.029536
66,0.177102,0.204018,0.854034,0.861848,0.830250,0.029542
67,0.177623,0.205948,0.852995,0.860018,0.828618,0.029469
68,0.179210,0.205950,0.854281,0.858188,0.828618,0.029410
69,0.177707,0.206993,0.859926,0.848124,0.827530,0.029431
70,0.177317,0.205335,0.858326,0.853614,0.829162,0.029848
71,0.176781,0.205949,0.856881,0.854529,0.828618,0.029480
72,0.177792,0.205315,0.857012,0.855444,0.829162,0.029600
