Ticker,Average_L1,Std_L1,Precision,Recall,Accuracy,F1_Score,Valid_Samples,Status
RDDT,0.03831646168510442,0.035939718811061935,0.44,1.0,0.44,0.6111111111111112,50,Complete
RIO,0.01598793296869159,0.011183208150272147,0.52,1.0,0.52,0.6842105263157895,50,Complete
RIOT,0.052278843854059384,0.04181422164576516,0.48,1.0,0.48,0.6486486486486487,50,Complete
