Ticker,Average_L1,Std_L1,Precision,Recall,Accuracy,F1_Score,Valid_Samples,Status
MA,0.008212111594237688,0.005889581247556688,0.6,1.0,0.6,0.7499999999999999,50,Complete
MAR,0.014632650107102841,0.013201496252764244,0.58,1.0,0.58,0.7341772151898733,50,Complete
MARA,0.06519990055285159,0.04400774659517929,0.48,1.0,0.48,0.6486486486486487,50,Complete
