Ticker,Average_L1,Std_L1,Precision,Recall,Accuracy,F1_Score,Valid_Samples,Status
A,0.016852075744259704,0.02157449389518259,0.5,1.0,0.5,0.6666666666666666,50,Complete
AA,0.023597736574566316,0.0158058912008897,0.54,1.0,0.54,0.7012987012987013,50,Complete
