Training started at 2024-12-27 19:59:53.533721
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
85,0.674181,0.430537,0.725000,0.557692,0.913265,0.031983
86,0.686372,0.421606,0.711111,0.615385,0.915816,0.031894
87,0.689074,0.430564,0.704545,0.596154,0.913265,0.032230
88,0.687738,0.421607,0.711111,0.615385,0.915816,0.031878
89,0.688044,0.430536,0.704545,0.596154,0.913265,0.031866
90,0.671517,0.439479,0.717949,0.538462,0.910714,0.032064
91,0.677244,0.430500,0.695652,0.615385,0.913265,0.031434
92,0.665163,0.430539,0.704545,0.596154,0.913265,0.031914
93,0.666624,0.430517,0.695652,0.615385,0.913265,0.031611
94,0.671399,0.439424,0.680851,0.615385,0.910714,0.031411
95,0.670913,0.430535,0.695652,0.615385,0.913265,0.031810
96,0.680617,0.430531,0.704545,0.596154,0.913265,0.031723
97,0.676638,0.421579,0.711111,0.615385,0.915816,0.031525
98,0.667331,0.421580,0.711111,0.615385,0.915816,0.031471
99,0.674884,0.430498,0.695652,0.615385,0.913265,0.031350
