Training started at 2024-12-27 19:50:32.492735
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.715941,0.593224,0.127168,0.423077,0.538265,0.150135
1,0.658948,0.434788,0.203008,0.519231,0.665816,0.133431
2,0.646859,0.489076,0.204969,0.634615,0.625000,0.109867
3,0.627004,0.611545,0.106145,0.365385,0.507653,0.109592
4,0.623375,0.358421,0.201923,0.403846,0.709184,0.099891
5,0.617361,0.396930,0.176471,0.403846,0.670918,0.097053
6,0.605356,0.239455,0.277778,0.384615,0.785714,0.093022
7,0.597997,0.247912,0.368421,0.538462,0.816327,0.104896
8,0.588370,0.223468,0.373494,0.596154,0.813776,0.075924
9,0.573597,0.232150,0.367647,0.480769,0.821429,0.064778
10,0.546702,0.350784,0.230769,0.634615,0.670918,0.060727
11,0.536730,0.242008,0.358025,0.557692,0.808673,0.048670
12,0.530407,0.252262,0.361111,0.500000,0.816327,0.044839
13,0.508584,0.265568,0.387500,0.596154,0.821429,0.043427
14,0.496142,0.329892,0.294118,0.576923,0.760204,0.045169
15,0.470801,0.297789,0.309278,0.576923,0.772959,0.045639
16,0.459052,0.195348,0.508197,0.596154,0.869898,0.039556
17,0.434448,0.176517,0.571429,0.615385,0.887755,0.038581
18,0.412953,0.152099,0.600000,0.576923,0.892857,0.035092
19,0.389399,0.154592,0.591837,0.557692,0.890306,0.033118
20,0.354743,0.159880,0.571429,0.538462,0.885204,0.032892
21,0.338240,0.143764,0.644444,0.557692,0.900510,0.032389
22,0.316599,0.135725,0.681818,0.576923,0.908163,0.032012
23,0.297768,0.135794,0.690476,0.557692,0.908163,0.032875
24,0.269230,0.124993,0.763158,0.557692,0.918367,0.031815
25,0.259974,0.122366,0.783784,0.557692,0.920918,0.032190
26,0.242464,0.127698,0.743590,0.557692,0.915816,0.031989
27,0.239659,0.127735,0.743590,0.557692,0.915816,0.032398
28,0.228685,0.127741,0.743590,0.557692,0.915816,0.032561
29,0.225875,0.130413,0.725000,0.557692,0.913265,0.032663
30,0.215747,0.127738,0.743590,0.557692,0.915816,0.032467
31,0.214938,0.127781,0.743590,0.557692,0.915816,0.033323
32,0.213349,0.133129,0.729730,0.519231,0.910714,0.032796
33,0.209326,0.133129,0.729730,0.519231,0.910714,0.032917
34,0.211162,0.135791,0.710526,0.519231,0.908163,0.032447
35,0.212091,0.138460,0.692308,0.519231,0.905612,0.032385
36,0.206948,0.143813,0.658537,0.519231,0.900510,0.032108
37,0.206349,0.141150,0.666667,0.538462,0.903061,0.032165
38,0.205038,0.141153,0.675000,0.519231,0.903061,0.032043
39,0.206960,0.141172,0.675000,0.519231,0.903061,0.032373
40,0.209399,0.141198,0.675000,0.519231,0.903061,0.032588
41,0.205535,0.141192,0.675000,0.519231,0.903061,0.032309
42,0.205783,0.141204,0.675000,0.519231,0.903061,0.032295
43,0.201060,0.138545,0.682927,0.538462,0.905612,0.032330
44,0.204384,0.141237,0.675000,0.519231,0.903061,0.032613
45,0.211496,0.138545,0.682927,0.538462,0.905612,0.032037
46,0.207054,0.141185,0.675000,0.519231,0.903061,0.031650
47,0.201631,0.141144,0.675000,0.519231,0.903061,0.031087
48,0.207322,0.141174,0.666667,0.538462,0.903061,0.031247
49,0.206946,0.141146,0.675000,0.519231,0.903061,0.030956
50,0.204655,0.135827,0.710526,0.519231,0.908163,0.031303
51,0.207617,0.135799,0.710526,0.519231,0.908163,0.031080
52,0.205971,0.133141,0.717949,0.538462,0.910714,0.031130
53,0.204586,0.130425,0.725000,0.557692,0.913265,0.030712
54,0.206695,0.133106,0.729730,0.519231,0.910714,0.030801
55,0.208936,0.135775,0.710526,0.519231,0.908163,0.030587
56,0.206443,0.138427,0.702703,0.500000,0.905612,0.030276
57,0.204087,0.135720,0.700000,0.538462,0.908163,0.029753
58,0.204396,0.130362,0.714286,0.576923,0.913265,0.029788
59,0.208777,0.127687,0.731707,0.576923,0.915816,0.029808
60,0.206343,0.130387,0.714286,0.576923,0.913265,0.030142
61,0.205180,0.127701,0.720930,0.596154,0.915816,0.029945
62,0.201506,0.130358,0.714286,0.576923,0.913265,0.029689
63,0.204291,0.127677,0.720930,0.596154,0.915816,0.029479
64,0.203977,0.135718,0.700000,0.538462,0.908163,0.029733
65,0.202242,0.130362,0.704545,0.596154,0.913265,0.029684
66,0.208106,0.130348,0.704545,0.596154,0.913265,0.029418
67,0.207248,0.130342,0.714286,0.576923,0.913265,0.029361
68,0.202516,0.127677,0.720930,0.596154,0.915816,0.029506
69,0.200278,0.127682,0.743590,0.557692,0.915816,0.029645
70,0.201489,0.127667,0.720930,0.596154,0.915816,0.029341
71,0.204072,0.130343,0.714286,0.576923,0.913265,0.029364
72,0.205237,0.130353,0.714286,0.576923,0.913265,0.029585
73,0.203374,0.127675,0.720930,0.596154,0.915816,0.029534
74,0.205136,0.127661,0.720930,0.596154,0.915816,0.029307
75,0.203606,0.127654,0.720930,0.596154,0.915816,0.029085
76,0.209292,0.138383,0.692308,0.519231,0.905612,0.029431
